State,County,life_exp,95low,95high
Kentucky,,74.0,73.9,74.0
Kentucky,Adair,73.6,72.3,75.0
Kentucky,Allen,73.7,72.4,74.9
Kentucky,Anderson,75.0,73.9,76.1
Kentucky,Ballard,74.0,71.8,76.2
Kentucky,Barren,74.2,73.4,75.0
Kentucky,Bath,70.6,68.9,72.3
Kentucky,Bell,67.7,66.5,68.8
Kentucky,Boone,78.3,77.8,78.8
Kentucky,Bourbon,74.1,72.8,75.4
Kentucky,Boyd,72.5,71.7,73.3
Kentucky,Boyle,75.1,74.1,76.1
Kentucky,Bracken,71.5,69.5,73.6
Kentucky,Breathitt,67.5,65.9,69.0
Kentucky,Breckinridge,73.9,72.7,75.2
Kentucky,Bullitt,76.9,76.2,77.6
Kentucky,Butler,72.4,71.0,73.9
Kentucky,Caldwell,73.0,71.3,74.6
Kentucky,Calloway,75.5,74.7,76.4
Kentucky,Campbell,77.1,76.6,77.7
Kentucky,Carlisle,71.3,68.8,73.9
Kentucky,Carroll,70.8,68.9,72.6
Kentucky,Carter,71.8,70.7,72.9
Kentucky,Casey,73.4,72.0,74.8
Kentucky,Christian,72.6,71.9,73.3
Kentucky,Clark,73.2,72.2,74.2
Kentucky,Clay,69.1,67.8,70.3
Kentucky,Clinton,72.8,71.2,74.4
Kentucky,Crittenden,71.9,69.9,73.8
Kentucky,Cumberland,73.6,71.5,75.6
Kentucky,Daviess,75.5,74.9,76.0
Kentucky,Edmonson,75.3,73.6,76.9
Kentucky,Elliott,75.8,73.6,77.9
Kentucky,Estill,70.6,69.2,72.1
Kentucky,Fayette,77.4,77.1,77.7
Kentucky,Fleming,73.5,72.2,74.9
Kentucky,Floyd,68.8,67.9,69.7
Kentucky,Franklin,74.2,73.4,75.0
Kentucky,Fulton,67.5,64.8,70.1
Kentucky,Gallatin,72.1,70.4,73.8
Kentucky,Garrard,74.7,73.2,76.2
Kentucky,Grant,73.2,72.1,74.3
Kentucky,Graves,73.5,72.6,74.3
Kentucky,Grayson,72.2,71.2,73.3
Kentucky,Green,74.1,72.4,75.7
Kentucky,Greenup,72.6,71.6,73.6
Kentucky,Hancock,74.6,72.8,76.4
Kentucky,Hardin,74.6,74.0,75.1
Kentucky,Harlan,67.0,65.9,68.0
Kentucky,Harrison,73.1,71.9,74.4
Kentucky,Hart,73.6,72.4,74.8
Kentucky,Henderson,74.3,73.5,75.1
Kentucky,Henry,73.4,72.0,74.8
Kentucky,Hickman,73.6,70.4,76.7
Kentucky,Hopkins,72.8,72.0,73.5
Kentucky,Jackson,70.9,69.5,72.4
Kentucky,Jefferson,74.1,73.9,74.3
Kentucky,Jessamine,76.3,75.5,77.1
Kentucky,Johnson,70.5,69.4,71.6
Kentucky,Kenton,76.1,75.6,76.5
Kentucky,Knott,69.5,67.7,71.2
Kentucky,Knox,70.6,69.7,71.6
Kentucky,Larue,73.1,71.5,74.6
Kentucky,Laurel,73.0,72.3,73.7
Kentucky,Lawrence,71.1,69.7,72.4
Kentucky,Lee,68.1,66.2,70.0
Kentucky,Leslie,68.8,67.2,70.5
Kentucky,Letcher,68.8,67.5,70.0
Kentucky,Lewis,70.9,69.4,72.5
Kentucky,Lincoln,71.2,70.1,72.4
Kentucky,Livingston,72.7,70.9,74.4
Kentucky,Logan,74.2,73.1,75.2
Kentucky,Lyon,75.6,73.6,77.6
Kentucky,McCracken,74.8,74.1,75.5
Kentucky,McCreary,70.8,69.6,72.0
Kentucky,McLean,74.9,73.3,76.5
Kentucky,Madison,74.3,73.7,74.9
Kentucky,Magoffin,69.4,67.8,71.0
Kentucky,Marion,73.4,72.1,74.8
Kentucky,Marshall,74.6,73.6,75.6
Kentucky,Martin,71.6,69.9,73.3
Kentucky,Mason,72.0,70.6,73.3
Kentucky,Meade,74.8,73.7,75.8
Kentucky,Menifee,72.1,69.7,74.6
Kentucky,Mercer,74.0,72.9,75.1
Kentucky,Metcalfe,72.8,71.2,74.3
Kentucky,Monroe,72.6,71.1,74.2
Kentucky,Montgomery,72.6,71.6,73.6
Kentucky,Morgan,73.7,72.1,75.3
Kentucky,Muhlenberg,73.3,72.3,74.3
Kentucky,Nelson,74.7,73.9,75.5
Kentucky,Nicholas,73.0,71.1,74.9
Kentucky,Ohio,73.9,72.8,75.1
Kentucky,Oldham,79.6,78.9,80.3
Kentucky,Owen,73.0,71.2,74.8
Kentucky,Owsley,65.8,63.0,68.6
Kentucky,Pendleton,72.1,70.5,73.6
Kentucky,Perry,65.4,64.3,66.5
Kentucky,Pike,70.3,69.6,71.1
Kentucky,Powell,69.0,67.5,70.6
Kentucky,Pulaski,72.6,71.9,73.3
Kentucky,Robertson,71.3,66.9,75.7
Kentucky,Rockcastle,70.8,69.3,72.3
Kentucky,Rowan,73.5,72.4,74.7
Kentucky,Russell,72.5,71.2,73.8
Kentucky,Scott,76.1,75.4,76.8
Kentucky,Shelby,77.2,76.4,78.0
Kentucky,Simpson,72.9,71.6,74.1
Kentucky,Spencer,76.7,75.4,77.9
Kentucky,Taylor,72.6,71.6,73.6
Kentucky,Todd,73.7,72.1,75.3
Kentucky,Trigg,73.0,71.4,74.7
Kentucky,Trimble,72.7,70.8,74.5
Kentucky,Union,73.9,72.6,75.2
Kentucky,Warren,75.8,75.3,76.2
Kentucky,Washington,75.4,73.8,76.9
Kentucky,Wayne,73.2,71.9,74.5
Kentucky,Webster,71.9,70.3,73.6
Kentucky,Whitley,70.0,69.1,70.8
Kentucky,Wolfe,65.8,63.6,68.1
Kentucky,Woodford,76.5,75.3,77.7